ax,ay,az
0.28,0.07,2.00
-0.14,-1.57,0.64
-0.58,0.11,0.12
0.59,-0.83,2.00
-0.07,-2.00,0.73
-0.63,0.17,0.17
0.19,-0.72,1.69
0.13,-2.00,1.09
-0.59,0.72,0.44
0.24,-1.22,1.69
-0.11,-1.76,0.65
-0.17,1.11,1.10
0.14,-0.63,1.18
0.24,0.10,0.64
-0.09,2.00,1.38
0.17,-0.20,1.34
0.00,0.73,0.50
-0.06,2.00,1.45
0.32,-0.75,1.47
-0.09,1.09,0.44
0.16,2.00,1.97
0.04,-0.92,1.42
-0.26,1.43,0.34
0.30,0.83,2.00
-0.09,-1.41,0.94
-0.51,0.48,0.03
0.33,-0.11,2.00
-0.12,-2.00,0.70
-0.58,0.20,0.14
0.31,-0.70,2.00
0.07,-2.00,0.77
-0.58,0.23,0.33
0.24,-1.26,1.88
0.01,-1.52,0.95
-0.44,1.27,0.72
0.26,-0.90,1.46
0.09,-1.12,0.68
-0.17,1.35,1.09
0.10,-0.52,0.77
0.02,-0.32,0.45
-0.10,2.00,1.54
0.23,-0.17,1.37
-0.03,1.04,0.60
0.20,2.00,2.00
0.17,-1.04,1.41
-0.11,1.51,0.40
0.21,1.86,1.58
-0.04,-0.87,1.25
-0.32,1.30,0.34
0.22,0.30,2.00
-0.15,-2.00,0.58
-0.44,-0.20,0.35
0.28,-0.61,2.00
0.08,-2.00,0.88
-0.61,0.50,0.14
0.37,-0.96,2.00
-0.03,-1.95,0.81
-0.55,0.32,0.42
0.22,-1.39,1.30
0.11,-1.47,0.80
-0.22,1.66,1.09
0.11,-0.29,0.74
0.13,0.05,0.49
0.05,2.00,1.75
0.28,-0.33,1.49
-0.11,0.45,0.08
-0.03,2.00,1.62
0.15,-0.37,1.50
0.06,1.65,0.41
-0.01,1.94,1.50
0.11,-0.84,1.54
-0.22,1.01,0.25
0.09,0.77,1.48
0.02,-1.40,1.30
-0.49,0.80,0.08
0.36,0.36,2.00
-0.00,-2.00,0.82
-0.52,0.14,0.33
0.30,-0.91,2.00
-0.08,-2.00,0.53
-0.68,0.26,0.18
